Domain,Parameter
blogsearch.google.ru,q
blogs.yandex.ru,text
blogs.yandex.by,text
blogs.yandex.com,text
blogs.yandex.kz,text
blogs.yandex.ua,text
m.blogs.yandex.by,text
m.blogs.yandex.com,text
m.blogs.yandex.kz,text
m.blogs.yandex.ru,text
m.blogs.yandex.ua,text
all.by,query
aport.ru,r
daemon-search.com,q
gde.ru,keywords
go.mail.ru,q
index.online.ua,q
isearch.babylon.com,q
km.ru,sq
liveinternet.ru,q
meta.ua,q
nigma.ru,s
poisk.ru,text
quintura.ru,request
rambler.ru,query
nova.rambler.ru,query
images.rambler.ru,query
results.metabot.ru,st
ru.alhea.com,q
ru.ask.com,q
ru.yahoo.com,p
search.bigmir.net,z
search.conduit.com,q
search.i.ua,q
search.icq.com,q
search.mywebsearch.com,searchfor
search.nur.kz,query
search.qip.ru,query
search.tut.by,query
search.ua,q
search.ukr.net,q
search.yahoo.com,p
tyt.by,query
web20.a.ua,query
webalta.ru,q
yandex.by,text
yandex.com,text
yandex.kz,text
yandex.ru,text
yandex.ua,text
m.images.yandex.by,text
m.images.yandex.com,text
m.images.yandex.kz,text
m.images.yandex.ru,text
m.images.yandex.ua,text
m.maps.yandex.by,text
m.maps.yandex.com,text
m.maps.yandex.kz,text
m.maps.yandex.ru,text
m.maps.yandex.ua,text
m.video.yandex.by,text
m.video.yandex.com,text
m.video.yandex.kz,text
m.video.yandex.ru,text
m.video.yandex.ua,text
m.yandex.by,text
m.yandex.com,text
m.yandex.kz,text
m.yandex.ru,text
m.yandex.ua,text
images.yandex.by,text
images.yandex.com,text
images.yandex.kz,text
images.yandex.ru,text
images.yandex.ua,text
maps.yandex.by,text
maps.yandex.com,text
maps.yandex.kz,text
maps.yandex.ru,text
maps.yandex.ua,text
video.yandex.by,text
video.yandex.com,text
video.yandex.kz,text
video.yandex.ru,text
video.yandex.ua,text
market.yandex.ru,text
price.ru,query
tyndex.ru,pnam
torg.mail.ru,q
tiu.ru,search_term
tech2u.ru,text
goods.marketgid.com,query
poisk.ngs.ru,q
sravni.com,q
e-katalog.ru,search_